dataset,model,image_id,ref_id,clean_eligible,clean_correct,reference_successes,reference_trials,reference_mean,lower_95,upper_95,interval_width
refl4,yoloworld,112226,17657,1,1,66,80,0.825,0.7238459604789864,0.9008894901605713,0.17704352968158488
refl4,yoloworld,1000736421,13012,1,0,63,80,0.7875,0.6817141914403442,0.8710635049024182,0.18934931346207406
refl4,yoloworld,474461,21574,1,0,69,80,0.8625,0.7672791291752744,0.9293121672961213,0.1620330381208469
refl4,yoloworld,417276,33364,1,0,64,80,0.8,0.6956311329945355,0.8811409135950147,0.18550978060047918
refl4,yoloworld,1001154771,11643,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1001924277,5669,1,1,75,80,0.9375,0.860142924702361,0.9793969276979898,0.11925400299562883
refl4,yoloworld,1000911368,14061,1,1,61,80,0.7625,0.6542230288597322,0.8505462481433591,0.19632321928362695
refl4,yoloworld,1000030676,4070,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1000020485,1764,1,0,46,80,0.575,0.45938881143093807,0.6848902345476577,0.22550142311671967
refl4,yoloworld,428576,39608,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,89208,29693,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,1001515240,8798,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,52751,20568,1,1,69,80,0.8625,0.7672791291752744,0.9293121672961213,0.1620330381208469
refl4,yoloworld,1002253932,14972,1,1,79,80,0.9875,0.9323122155360776,0.9996835774723672,0.06737136193628968
refl4,yoloworld,1000043008,291,1,0,67,80,0.8375,0.7381631061748871,0.9105383582774708,0.17237525210258364
refl4,yoloworld,256930,39266,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,1000612782,13428,1,1,64,80,0.8,0.6956311329945355,0.8811409135950147,0.18550978060047918
refl4,yoloworld,349038,38117,1,1,56,80,0.7,0.5872406769186242,0.7974260708533272,0.21018539393470292
refl4,yoloworld,480014,17192,1,1,32,80,0.4,0.2920093562553105,0.5156230595045106,0.2236137032492001
refl4,yoloworld,1000578716,10569,1,0,48,80,0.6,0.4843769404954894,0.7079906437446896,0.22361370324920016
refl4,yoloworld,269605,31751,1,1,23,80,0.2875,0.19176047197196505,0.3995451133120206,0.20778464134005553
refl4,yoloworld,99451,36071,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,72396,28112,1,1,77,80,0.9625,0.8942980149834914,0.9921988127342833,0.09790079775079197
refl4,yoloworld,1001786301,2213,1,0,72,80,0.9,0.8124348925365683,0.955829059846371,0.1433941673098027
refl4,yoloworld,1002092712,8342,1,1,64,80,0.8,0.6956311329945355,0.8811409135950147,0.18550978060047918
refl4,yoloworld,566847,28260,1,1,43,80,0.5375,0.4224175280048351,0.6497235734616016,0.22730604545676647
refl4,yoloworld,204680,18250,1,0,48,80,0.6,0.4843769404954894,0.7079906437446896,0.22361370324920016
refl4,yoloworld,335524,26478,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,1000043219,4682,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,1001116518,1057,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1001722672,1913,1,1,49,80,0.6125,0.4969755425018991,0.7194348668752178,0.22245932437331872
refl4,yoloworld,32818,33077,1,1,58,80,0.725,0.6137565791555909,0.8189623614429612,0.2052057822873703
refl4,yoloworld,1000433832,12160,1,1,29,80,0.3625,0.2578948953716181,0.47761272126480847,0.2197178258931904
refl4,yoloworld,420524,33574,1,0,57,80,0.7125,0.6004548866879794,0.8082395280280349,0.20778464134005548
refl4,yoloworld,110447,20485,1,1,79,80,0.9875,0.9323122155360776,0.9996835774723672,0.06737136193628968
refl4,yoloworld,403358,21998,1,0,79,80,0.9875,0.9323122155360776,0.9996835774723672,0.06737136193628968
refl4,yoloworld,92009,39331,1,1,28,80,0.35,0.24667193647253513,0.4647968854793358,0.21812494900680066
refl4,yoloworld,443410,31454,1,0,73,80,0.9125,0.8279916615801152,0.9640936410104413,0.1361019794303261
refl4,yoloworld,1002222882,8553,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,350335,20564,1,1,45,80,0.5625,0.44699757138818025,0.673236046566221,0.2262384751780408
refl4,yoloworld,1001725781,10996,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,1001361246,14904,1,1,22,80,0.275,0.18103763855703875,0.38624342084440927,0.20520578228737052
refl4,yoloworld,316170,40141,1,1,63,80,0.7875,0.6817141914403442,0.8710635049024182,0.18934931346207406
refl4,yoloworld,264324,43883,1,0,30,80,0.375,0.2691931699468049,0.4903547644071125,0.2211615944603076
refl4,yoloworld,119714,35376,1,0,76,80,0.95,0.876901263556847,0.9862106060235382,0.1093093424666911
refl4,yoloworld,1002007300,9872,1,0,27,80,0.3375,0.23552613798365082,0.4519056143741682,0.21637947639051738
refl4,yoloworld,1002187812,603,1,0,77,80,0.9625,0.8942980149834914,0.9921988127342833,0.09790079775079197
refl4,yoloworld,202617,39752,1,1,43,80,0.5375,0.4224175280048351,0.6497235734616016,0.22730604545676647
refl4,yoloworld,431947,34872,1,0,29,80,0.3625,0.2578948953716181,0.47761272126480847,0.2197178258931904
refl4,yoloworld,145192,34634,1,0,43,80,0.5375,0.4224175280048351,0.6497235734616016,0.22730604545676647
refl4,yoloworld,19959,28535,1,0,47,80,0.5875,0.47184834042520446,0.6964754070624058,0.2246270666372014
refl4,yoloworld,226460,35648,1,1,22,80,0.275,0.18103763855703875,0.38624342084440927,0.20520578228737052
refl4,yoloworld,315411,20699,1,0,31,80,0.3875,0.28056513312478215,0.5030244574981009,0.22245932437331872
