dataset,model,scope,repetition,half_probe_count,mean_left,mean_right,signed_model_mean_difference,absolute_model_mean_difference,sample_mae,sample_rmse,sample_spearman
refcoco,groundingdino,clean_eligible,9,40,0.8570641282565129,0.8571142284569139,-5.010020040080443e-05,5.010020040080443e-05,0.02900801603206413,0.048538252171330766,0.9482438812814364
refcoco,groundingdino,full_manifest,10,40,0.85545,0.8553,0.00014999999999999947,0.00014999999999999947,0.02825,0.04833477009358791,0.9451539127250814
refcoco,groundingdino,clean_eligible,10,40,0.8571643286573145,0.8570140280561122,0.0001503006012024043,0.0001503006012024043,0.028306613226452906,0.048383177486885406,0.9447955699229011
refcoco,groundingdino,full_manifest,11,40,0.8558499999999999,0.8549000000000001,0.0009500000000000009,0.0009500000000000009,0.03145,0.05254759747124505,0.9502273800220238
refcoco,groundingdino,clean_eligible,11,40,0.857565130260521,0.8566132264529059,0.0009519038076152313,0.0009519038076152313,0.03151302605210421,0.05260022402171181,0.9499031193247177
refcoco,groundingdino,full_manifest,12,40,0.856,0.85475,0.0012500000000000005,0.0012500000000000005,0.02925,0.05041081233227649,0.9469472414129168
refcoco,groundingdino,clean_eligible,12,40,0.8577154308617234,0.8564629258517034,0.0012525050100200407,0.0012525050100200407,0.02930861723446894,0.05046129888707524,0.9466008156557422
refcoco,groundingdino,full_manifest,13,40,0.8565999999999999,0.85415,0.002450000000000001,0.002450000000000001,0.02825,0.04828301978956991,0.9516397825385344
refcoco,groundingdino,clean_eligible,13,40,0.858316633266533,0.8558617234468938,0.0024549098196392795,0.0024549098196392795,0.028306613226452906,0.04833137535480834,0.9513245451985338
refcoco,groundingdino,full_manifest,14,40,0.8533,0.85745,-0.004150000000000006,0.004150000000000006,0.02975,0.05036119537898202,0.9497078451213964
refcoco,groundingdino,clean_eligible,14,40,0.8550100200400801,0.8591683366733467,-0.004158316633266539,0.004158316633266539,0.029809619238476952,0.050411632242277786,0.9493796504697588
refcoco,groundingdino,full_manifest,15,40,0.8573500000000001,0.8533999999999999,0.0039499999999999995,0.0039499999999999995,0.028650000000000002,0.047919202831432826,0.9522206640818567
refcoco,groundingdino,clean_eligible,15,40,0.8590681362725451,0.8551102204408817,0.003957915831663326,0.003957915831663326,0.02870741482965932,0.04796719403307654,0.9519090470804326
refcoco,groundingdino,full_manifest,16,40,0.8565,0.85425,0.0022500000000000007,0.0022500000000000007,0.031549999999999995,0.052690131903421915,0.9446322356678929
refcoco,groundingdino,clean_eligible,16,40,0.8582164328657315,0.8559619238476954,0.002254509018036073,0.002254509018036073,0.03161322645290581,0.05274290120247946,0.9442704902585972
refcoco,groundingdino,full_manifest,17,40,0.8563999999999998,0.85435,0.002049999999999999,0.002049999999999999,0.031450000000000006,0.05573374202401988,0.9530531873856526
refcoco,groundingdino,clean_eligible,17,40,0.8581162324649297,0.856062124248497,0.002054108216432864,0.002054108216432864,0.03151302605210421,0.05578955950623557,0.9527473464524596
refcoco,groundingdino,full_manifest,18,40,0.8558,0.8549500000000001,0.0008500000000000023,0.0008500000000000023,0.02715,0.04648924606831133,0.9535753478193871
refcoco,groundingdino,clean_eligible,18,40,0.8575150300601203,0.8566633266533067,0.0008517034068136295,0.0008517034068136295,0.02720440881763527,0.04653580516467561,0.9532727499445695
refcoco,groundingdino,full_manifest,19,40,0.8565,0.85425,0.002249999999999998,0.002249999999999998,0.02885,0.049962485926943224,0.944498094267578
refcoco,groundingdino,clean_eligible,19,40,0.8582164328657313,0.8559619238476954,0.0022545090180360705,0.0022545090180360705,0.028907815631262525,0.050012523481724254,0.9441353108581584
refcoco,groundingdino,full_manifest,20,40,0.85445,0.8563,-0.0018499999999999988,0.0018499999999999988,0.027450000000000002,0.04654299087940095,0.9512195758729006
refcoco,groundingdino,clean_eligible,20,40,0.8561623246492986,0.8580160320641282,-0.001853707414829658,0.001853707414829658,0.027505010020040084,0.046589603801328136,0.9509014542621147
