dataset,model,diagnostic_budget,scope,predictor,bin_lower,bin_upper,sample_count,mean_prediction,mean_reference_operational,calibration_gap
refcoco,owlv2,40,paired_complete_cases,complete_case_persistence,0.1,0.2,3,0.11842105263157894,0.2333333333333333,-0.11491228070175437
refcoco,owlv2,40,paired_complete_cases,complete_case_persistence,0.2,0.3,12,0.265806105983057,0.284375,-0.018568894016943005
refcoco,owlv2,40,paired_complete_cases,complete_case_persistence,0.3,0.4,14,0.3527794603730126,0.34464285714285714,0.00813660323015547
refcoco,owlv2,40,paired_complete_cases,complete_case_persistence,0.4,0.5,9,0.44408691755182983,0.43472222222222223,0.009364695329607597
refcoco,owlv2,40,paired_complete_cases,complete_case_persistence,0.5,0.6,25,0.5359011999494758,0.4935,0.04240119994947583
refcoco,owlv2,40,paired_complete_cases,complete_case_persistence,0.6,0.7,30,0.6498767448290376,0.59625,0.05362674482903762
refcoco,owlv2,40,paired_complete_cases,complete_case_persistence,0.7,0.8,38,0.7496843382087913,0.6970394736842105,0.05264486452458084
refcoco,owlv2,40,paired_complete_cases,complete_case_persistence,0.8,0.9,51,0.8603367282159852,0.7857843137254903,0.07455241449049488
refcoco,owlv2,40,paired_complete_cases,complete_case_persistence,0.9,1.0,305,0.9834433549791779,0.8527868852459017,0.13065646973327616
refcoco,owlv2,40,paired_complete_cases,coverage_aware_operational,0.0,0.1,3,0.041666666666666664,0.049999999999999996,-0.008333333333333331
refcoco,owlv2,40,paired_complete_cases,coverage_aware_operational,0.1,0.2,6,0.14166666666666664,0.21041666666666667,-0.06875000000000003
refcoco,owlv2,40,paired_complete_cases,coverage_aware_operational,0.2,0.3,18,0.2513888888888889,0.29305555555555557,-0.041666666666666685
refcoco,owlv2,40,paired_complete_cases,coverage_aware_operational,0.3,0.4,20,0.3474999999999999,0.37250000000000005,-0.025000000000000133
refcoco,owlv2,40,paired_complete_cases,coverage_aware_operational,0.4,0.5,31,0.4403225806451613,0.44879032258064516,-0.008467741935483886
refcoco,owlv2,40,paired_complete_cases,coverage_aware_operational,0.5,0.6,44,0.5375,0.5267045454545455,0.010795454545454497
refcoco,owlv2,40,paired_complete_cases,coverage_aware_operational,0.6,0.7,43,0.6401162790697674,0.647093023255814,-0.006976744186046546
refcoco,owlv2,40,paired_complete_cases,coverage_aware_operational,0.7,0.8,53,0.7433962264150944,0.762735849056604,-0.01933962264150957
refcoco,owlv2,40,paired_complete_cases,coverage_aware_operational,0.8,0.9,75,0.8446666666666667,0.8323333333333333,0.012333333333333418
