dataset,model,tracked_candidate_count,match_iou_threshold,birth_duplicate_iou_threshold,clean_eligibility,coverage,complete_case_persistence,eligible_operational_stability,full_manifest_operational_stability,total_optimism,identity_residual
refl4,groundingdino,5,0.1,0.5,1.0,0.98185,0.8885140296379285,0.8723875000000001,0.8723875000000001,0.016126529637928377,2.42861286636753e-17
refl4,groundingdino,5,0.1,0.7,1.0,0.979325,0.8899624741531157,0.8715625,0.8715625,0.018399974153115672,6.938893903907228e-18
refl4,groundingdino,5,0.1,0.85,1.0,0.979325,0.8899624741531157,0.8715625,0.8715625,0.018399974153115672,6.938893903907228e-18
refl4,groundingdino,5,0.15,0.5,1.0,0.980125,0.8887769417166177,0.8711125,0.8711125,0.01766444171661774,1.3877787807814457e-17
refl4,groundingdino,5,0.15,0.7,1.0,0.977625,0.8902314282061118,0.8703125,0.8703125,0.01991892820611174,4.163336342344337e-17
refl4,groundingdino,5,0.15,0.85,1.0,0.977625,0.8902314282061118,0.8703125,0.8703125,0.01991892820611174,4.163336342344337e-17
refl4,groundingdino,5,0.25,0.5,1.0,0.97685,0.8889286993908994,0.8683500000000001,0.8683500000000001,0.02057869939089929,3.122502256758253e-17
refl4,groundingdino,5,0.25,0.7,1.0,0.9743625,0.8903898702998114,0.8675625,0.8675625,0.02282737029981141,1.3877787807814457e-17
refl4,groundingdino,5,0.25,0.85,1.0,0.9743625,0.8903898702998114,0.8675625,0.8675625,0.02282737029981141,1.3877787807814457e-17
refl4,yoloworld,2,0.1,0.5,0.781,0.9003681177976952,0.9051284330281751,0.8149487836107553,0.6364749999999999,0.26865343302817524,5.551115123125783e-17
refl4,yoloworld,2,0.1,0.7,0.781,0.8891005121638924,0.9096865943007326,0.8088028169014084,0.6316750000000001,0.2780115943007325,5.551115123125783e-17
refl4,yoloworld,2,0.1,0.85,0.781,0.8891005121638924,0.9096865943007326,0.8088028169014084,0.6316750000000001,0.2780115943007325,5.551115123125783e-17
refl4,yoloworld,2,0.15,0.5,0.781,0.8979033290653009,0.905474055720932,0.8130281690140846,0.634975,0.270499055720932,1.1102230246251565e-16
refl4,yoloworld,2,0.15,0.7,0.781,0.8867157490396927,0.9099671492003899,0.8068822023047375,0.6301749999999999,0.27979214920039,1.6653345369377348e-16
refl4,yoloworld,2,0.15,0.85,0.781,0.8867157490396927,0.9099671492003899,0.8068822023047375,0.6301749999999999,0.27979214920039,1.6653345369377348e-16
refl4,yoloworld,2,0.25,0.5,0.781,0.896190781049936,0.9054720148587349,0.8114756722151089,0.6337624999999999,0.27170951485873496,1.1102230246251565e-16
refl4,yoloworld,2,0.25,0.7,0.781,0.8850192061459667,0.9099754050925926,0.8053457106274008,0.6289750000000001,0.2810004050925925,5.551115123125783e-17
refl4,yoloworld,2,0.25,0.85,0.781,0.8850192061459667,0.9099754050925926,0.8053457106274008,0.6289750000000001,0.2810004050925925,5.551115123125783e-17
refl4,yoloworld,3,0.1,0.5,0.781,0.8747119078104993,0.8819439361779989,0.7714468629961587,0.6025,0.2794439361779989,5.551115123125783e-17
refl4,yoloworld,3,0.1,0.7,0.781,0.8653169014084507,0.887468787570517,0.7679417413572344,0.5997625000000001,0.28770628757051686,5.551115123125783e-17
refl4,yoloworld,3,0.1,0.85,0.781,0.8653169014084507,0.887468787570517,0.7679417413572344,0.5997625000000001,0.28770628757051686,5.551115123125783e-17
refl4,yoloworld,3,0.15,0.5,0.781,0.8721030729833548,0.8820679403182294,0.7692541613316262,0.6007875,0.2812804403182294,1.1102230246251565e-16
refl4,yoloworld,3,0.15,0.7,0.781,0.862708066581306,0.8876108493191347,0.7657490396927016,0.59805,0.2895608493191347,0.0
refl4,yoloworld,3,0.15,0.85,0.781,0.862708066581306,0.8876108493191347,0.7657490396927016,0.59805,0.2895608493191347,0.0
refl4,yoloworld,3,0.25,0.5,0.781,0.8686619718309858,0.8823561926520985,0.7664692701664532,0.5986125,0.28374369265209853,1.1102230246251565e-16
refl4,yoloworld,3,0.25,0.7,0.781,0.8592989756722152,0.8878913743969902,0.7629641485275289,0.595875,0.29201637439699013,1.1102230246251565e-16
refl4,yoloworld,3,0.25,0.85,0.781,0.8592989756722152,0.8878913743969902,0.7629641485275289,0.595875,0.29201637439699013,1.1102230246251565e-16
refl4,yoloworld,5,0.1,0.5,0.781,0.7891005121638925,0.876031884469505,0.6912772087067862,0.5398875000000001,0.3361443844695049,5.551115123125783e-17
