dataset,model,family,severity_bin,strength_low,strength_high,strength_mid,full_manifest_stability,lower,upper,eligible_probe_trials
Ref-L4,owlv2,brightness,4,0.6,0.8,0.7,0.8545490438001233,0.833893973614272,0.8739544381159099,3242
Ref-L4,owlv2,brightness,5,0.8,1.0,0.9,0.8185488958990537,0.7954058934712163,0.8399370559036871,3170
Ref-L4,owlv2,jpeg,1,0.0,0.2,0.1,0.8403239913766554,0.8180844322288403,0.8619663393020992,3247
Ref-L4,owlv2,jpeg,2,0.2,0.4,0.3,0.8066289549376797,0.7809198080364035,0.8298114951171752,3129
Ref-L4,owlv2,jpeg,3,0.4,0.6,0.5,0.7728218205293738,0.7466980365878775,0.7966315479417483,3098
Ref-L4,owlv2,jpeg,4,0.6,0.8,0.7,0.7417405177603853,0.7148687185366362,0.7688494880123167,3322
Ref-L4,owlv2,jpeg,5,0.8,1.0,0.9,0.7374880201765447,0.7109629647502506,0.7632702273355779,3172
Ref-L4,owlv2,resolution,1,0.0,0.2,0.1,0.7632857586099907,0.7383486488614222,0.788603413737719,3223
Ref-L4,owlv2,resolution,2,0.2,0.4,0.3,0.7480342252644678,0.7198460097943076,0.7747113035541114,3214
Ref-L4,owlv2,resolution,3,0.4,0.6,0.5,0.7393633802816901,0.7117093357904268,0.7662551720582055,3195
Ref-L4,owlv2,resolution,4,0.6,0.8,0.7,0.7262719599874962,0.6970537340567021,0.7547088659200333,3199
Ref-L4,owlv2,resolution,5,0.8,1.0,0.9,0.6865425565827225,0.6559055109627882,0.7144268260908069,3137
Ref-L4,owlv2,gaussian_noise,1,0.0,0.2,0.1,0.9431007990165949,0.9301875793064792,0.9548714297640063,3254
Ref-L4,owlv2,gaussian_noise,2,0.2,0.4,0.3,0.8720140620006392,0.8538050560615178,0.8899372899128014,3129
Ref-L4,owlv2,gaussian_noise,3,0.4,0.6,0.5,0.7950701920050363,0.7725134553025064,0.8176854170228546,3177
Ref-L4,owlv2,gaussian_noise,4,0.6,0.8,0.7,0.7188587464920487,0.6932779066642479,0.7444285496486404,3207
Ref-L4,owlv2,gaussian_noise,5,0.8,1.0,0.9,0.6534857856919712,0.6257099086700937,0.6814436760090372,3201
Ref-L4,yoloworld,blur,1,0.0,0.2,0.1,0.6205967550455085,0.5921014874651811,0.6501960715661915,2527
Ref-L4,yoloworld,blur,2,0.2,0.4,0.3,0.43507048458149783,0.402434978632656,0.4692306441404741,2497
Ref-L4,yoloworld,blur,3,0.4,0.6,0.5,0.3147780448717949,0.28291726581519683,0.34693280841494684,2496
Ref-L4,yoloworld,blur,4,0.6,0.8,0.7,0.28062182116488926,0.2520452419015566,0.30945027187165997,2438
Ref-L4,yoloworld,blur,5,0.8,1.0,0.9,0.25694838455476754,0.22866165693752283,0.28509902156585903,2538
Ref-L4,yoloworld,brightness,1,0.0,0.2,0.1,0.756143025540275,0.7286303046146562,0.782245835045684,2545
Ref-L4,yoloworld,brightness,2,0.2,0.4,0.3,0.731377579927155,0.7043133603792796,0.7579300928389019,2471
Ref-L4,yoloworld,brightness,3,0.4,0.6,0.5,0.7076931407942239,0.6797094021100527,0.734620379837046,2493
Ref-L4,yoloworld,brightness,4,0.6,0.8,0.7,0.6861531062124249,0.6592536335775424,0.7124629273413547,2495
Ref-L4,yoloworld,brightness,5,0.8,1.0,0.9,0.6565790529695025,0.6279084258735723,0.6844536136274124,2492
Ref-L4,yoloworld,jpeg,1,0.0,0.2,0.1,0.6648845393436141,0.6359813970235083,0.693650264100909,2529
Ref-L4,yoloworld,jpeg,2,0.2,0.4,0.3,0.5810461412821559,0.5506280827818348,0.6100019823371194,2449
Ref-L4,yoloworld,jpeg,3,0.4,0.6,0.5,0.5312221762515514,0.4975674656765751,0.561089880148958,2417
Ref-L4,yoloworld,jpeg,4,0.6,0.8,0.7,0.46788156381755464,0.4366329061682243,0.4983899213527751,2609
Ref-L4,yoloworld,jpeg,5,0.8,1.0,0.9,0.4324959871589085,0.4023248605856822,0.4642241647307236,2492
Ref-L4,yoloworld,resolution,1,0.0,0.2,0.1,0.5182019723865878,0.4881370984378178,0.5478382484429131,2535
Ref-L4,yoloworld,resolution,2,0.2,0.4,0.3,0.4946127373417722,0.46180619149371127,0.5273075391620397,2528
Ref-L4,yoloworld,resolution,3,0.4,0.6,0.5,0.4667367793240557,0.43268150053283766,0.5003638195549721,2515
Ref-L4,yoloworld,resolution,4,0.6,0.8,0.7,0.4209019766034691,0.38813073131537884,0.45427356258825796,2479
Ref-L4,yoloworld,resolution,5,0.8,1.0,0.9,0.3656834768347684,0.33435971010752435,0.39636849992117046,2439
Ref-L4,yoloworld,gaussian_noise,1,0.0,0.2,0.1,0.7468696850393701,0.7206918046571328,0.7722466113465903,2540
Ref-L4,yoloworld,gaussian_noise,2,0.2,0.4,0.3,0.6687873563218392,0.6392370380109355,0.6973047474773115,2436
Ref-L4,yoloworld,gaussian_noise,3,0.4,0.6,0.5,0.5976374850775965,0.5672676623584635,0.6263859719556618,2513
Ref-L4,yoloworld,gaussian_noise,4,0.6,0.8,0.7,0.5218158105939005,0.49259305769715056,0.5521802415048742,2492
