dataset,model,setting_index,setting_id,tracked_candidate_count,exposed_candidate_count,duplicate_iou_threshold,match_iou_threshold,birth_duplicate_iou_threshold,sample_count,eligible_count,clean_eligibility,reference_probe_count,coverage,conditional_ranking,full_manifest_operational,eligible_only_operational,winner_missing_share,competitor_missing_share,threatening_birth_share,ranking_reversal_share
RefCOCO,groundingdino,53,kt3_ke20_match0.25_birth0.85_dup0.70,3,20,0.7,0.25,0.85,500,499,0.998,39920,0.973997995991984,0.9153850110591019,0.8898000717163086,0.8915832152586423,0.0011552680221811461,0.09057301293900184,0.1481053604436229,0.7601663585951941
RefCOCO,groundingdino,54,kt4_ke10_match0.10_birth0.50_dup0.70,4,10,0.7,0.1,0.5,500,499,0.998,39920,0.9669088176352706,0.9065778906189279,0.8748250007629395,0.8765781685441195,0.0010148163182463973,0.21453216967728841,0.05256748528516338,0.7318855287193018
RefCOCO,groundingdino,55,kt4_ke10_match0.10_birth0.70_dup0.70,4,10,0.7,0.1,0.7,500,499,0.998,39920,0.9634769539078156,0.9089490926108886,0.8740000128746033,0.875751503006012,0.0010080645161290322,0.21310483870967742,0.07983870967741935,0.7060483870967742
RefCOCO,groundingdino,56,kt4_ke10_match0.10_birth0.85_dup0.70,4,10,0.7,0.1,0.85,500,499,0.998,39920,0.9634769539078156,0.9089490926108886,0.8740000128746033,0.875751503006012,0.0010080645161290322,0.21310483870967742,0.07983870967741935,0.7060483870967742
RefCOCO,groundingdino,57,kt4_ke10_match0.15_birth0.50_dup0.70,4,10,0.7,0.15,0.5,500,499,0.998,39920,0.9646292585170341,0.9064090578581074,0.8725999593734741,0.8743486729318011,0.000996810207336523,0.23066188197767146,0.04984051036682616,0.7185007974481659
RefCOCO,groundingdino,58,kt4_ke10_match0.15_birth0.70_dup0.70,4,10,0.7,0.15,0.7,500,499,0.998,39920,0.9611973947895791,0.9087852805504156,0.8717750310897827,0.8735220685511649,0.0009902951079421667,0.2291542879778174,0.0766488413547237,0.6932065755595167
RefCOCO,groundingdino,59,kt4_ke10_match0.15_birth0.85_dup0.70,4,10,0.7,0.15,0.85,500,499,0.998,39920,0.9611973947895791,0.9087852805504156,0.8717750310897827,0.8735220685511649,0.0009902951079421667,0.2291542879778174,0.0766488413547237,0.6932065755595167
RefCOCO,groundingdino,60,kt4_ke10_match0.25_birth0.50_dup0.70,4,10,0.7,0.25,0.5,500,499,0.998,39920,0.9597945891783567,0.9069555004567402,0.8687499761581421,0.8704909819639278,0.0019342359767891683,0.2611218568665377,0.047388781431334626,0.6895551257253385
RefCOCO,groundingdino,61,kt4_ke10_match0.25_birth0.70_dup0.70,4,10,0.7,0.25,0.7,500,499,0.998,39920,0.9565881763527054,0.9091837536334355,0.8679749965667725,0.8697144043947269,0.0019227071716977505,0.2595654681791963,0.0717169775043261,0.6667948471447799
RefCOCO,groundingdino,62,kt4_ke10_match0.25_birth0.85_dup0.70,4,10,0.7,0.25,0.85,500,499,0.998,39920,0.9565881763527054,0.9091837536334355,0.8679749965667725,0.8697144043947269,0.0019227071716977505,0.2595654681791963,0.0717169775043261,0.6667948471447799
RefCOCO,groundingdino,63,kt4_ke15_match0.10_birth0.50_dup0.70,4,15,0.7,0.1,0.5,500,499,0.998,39920,0.9724448897795591,0.9070582174137043,0.8803000450134277,0.88206417718249,0.0004248088360237893,0.1743840271877655,0.05883602378929482,0.7663551401869159
RefCOCO,groundingdino,64,kt4_ke15_match0.10_birth0.70_dup0.70,4,15,0.7,0.1,0.7,500,499,0.998,39920,0.9692134268537074,0.9092036907808018,0.8794500231742859,0.8812124370811937,0.00042176296921130323,0.17313369886123997,0.08561788274989456,0.7408266554196542
RefCOCO,groundingdino,65,kt4_ke15_match0.10_birth0.85_dup0.70,4,15,0.7,0.1,0.85,500,499,0.998,39920,0.9692134268537074,0.9092036907808018,0.8794500231742859,0.8812124370811937,0.00042176296921130323,0.17313369886123997,0.08561788274989456,0.7408266554196542
RefCOCO,groundingdino,66,kt4_ke15_match0.15_birth0.50_dup0.70,4,15,0.7,0.15,0.5,500,499,0.998,39920,0.9709919839679358,0.9069449460812136,0.8788750171661377,0.8806362725450901,0.0006295907660020986,0.18572927597061908,0.05666316894018888,0.75697796432319
RefCOCO,groundingdino,67,kt4_ke15_match0.15_birth0.70_dup0.70,4,15,0.7,0.15,0.7,500,499,0.998,39920,0.9677605210420842,0.9090932622369476,0.8780249357223511,0.8797845324437938,0.000625130235465722,0.18441341946238798,0.08314232131694103,0.7318191289852053
RefCOCO,groundingdino,68,kt4_ke15_match0.15_birth0.85_dup0.70,4,15,0.7,0.15,0.85,500,499,0.998,39920,0.9677605210420842,0.9090932622369476,0.8780249357223511,0.8797845324437938,0.000625130235465722,0.18441341946238798,0.08314232131694103,0.7318191289852053
RefCOCO,groundingdino,69,kt4_ke15_match0.25_birth0.50_dup0.70,4,15,0.7,0.25,0.5,500,499,0.998,39920,0.9680611222444889,0.9070772415577695,0.8763499855995178,0.8781061879618612,0.0012330456226880395,0.20571311138512124,0.05507603781339909,0.7379778051787916
RefCOCO,groundingdino,70,kt4_ke15_match0.25_birth0.70_dup0.70,4,15,0.7,0.25,0.7,500,499,0.998,39920,0.9648547094188377,0.9092348832982838,0.8755249977111816,0.8772795835812249,0.001224739742804654,0.20432741375790978,0.08083282302510716,0.7136150234741784
RefCOCO,groundingdino,71,kt4_ke15_match0.25_birth0.85_dup0.70,4,15,0.7,0.25,0.85,500,499,0.998,39920,0.9648547094188377,0.9092348832982838,0.8755249977111816,0.8772795835812249,0.001224739742804654,0.20432741375790978,0.08083282302510716,0.7136150234741784
RefCOCO,groundingdino,72,kt4_ke20_match0.10_birth0.50_dup0.70,4,20,0.7,0.1,0.5,500,499,0.998,39920,0.9725200400801604,0.9070653993766582,0.8803750276565552,0.8821392785571143,0.00021253985122210415,0.173432518597237,0.05951115834218916,0.7668437832093518
RefCOCO,groundingdino,73,kt4_ke20_match0.10_birth0.70_dup0.70,4,20,0.7,0.1,0.7,500,499,0.998,39920,0.9692885771543086,0.90921073034579,0.8795250058174133,0.8812875996132891,0.00021101498206372652,0.17218822536400086,0.08630512766406415,0.7412956319898713
RefCOCO,groundingdino,74,kt4_ke20_match0.10_birth0.85_dup0.70,4,20,0.7,0.1,0.85,500,499,0.998,39920,0.9692885771543086,0.90921073034579,0.8795250058174133,0.8812875996132891,0.00021101498206372652,0.17218822536400086,0.08630512766406415,0.7412956319898713
RefCOCO,groundingdino,75,kt4_ke20_match0.15_birth0.50_dup0.70,4,20,0.7,0.15,0.5,500,499,0.998,39920,0.9711923847695391,0.9069641475367552,0.8790749311447144,0.8808366244207164,0.00042043304603741857,0.18393945764137062,0.05738911078410763,0.7582509985284843
RefCOCO,groundingdino,76,kt4_ke20_match0.15_birth0.70_dup0.70,4,20,0.7,0.15,0.7,500,499,0.998,39920,0.9679609218436874,0.9091120830206257,0.8782249689102173,0.8799849454768913,0.0004174493842621582,0.18263410561469423,0.08390732623669381,0.7330411187643499
RefCOCO,groundingdino,77,kt4_ke20_match0.15_birth0.85_dup0.70,4,20,0.7,0.15,0.85,500,499,0.998,39920,0.9679609218436874,0.9091120830206257,0.8782249689102173,0.8799849454768913,0.0004174493842621582,0.18263410561469423,0.08390732623669381,0.7330411187643499
RefCOCO,groundingdino,78,kt4_ke20_match0.25_birth0.50_dup0.70,4,20,0.7,0.25,0.5,500,499,0.998,39920,0.9684118236472946,0.9070591582813834,0.8766500353813171,0.878406838090243,0.0010300782859497322,0.20292542233209723,0.055830243098475486,0.7402142562834776
RefCOCO,groundingdino,79,kt4_ke20_match0.25_birth0.70_dup0.70,4,20,0.7,0.25,0.7,500,499,0.998,39920,0.9652054108216432,0.9092159559834938,0.8758249282836914,0.8775801113946643,0.0010231225700838961,0.20155514630652752,0.0816451810926949,0.7157765500306936
RefCOCO,groundingdino,80,kt4_ke20_match0.25_birth0.85_dup0.70,4,20,0.7,0.25,0.85,500,499,0.998,39920,0.9652054108216432,0.9092159559834938,0.8758249282836914,0.8775801113946643,0.0010231225700838961,0.20155514630652752,0.0816451810926949,0.7157765500306936
RefCOCO,groundingdino,81,kt5_ke10_match0.10_birth0.50_dup0.70,5,10,0.7,0.1,0.5,500,499,0.998,39920,0.9380260521042084,0.904048496501629,0.8463250398635864,0.8480210543156625,0.0008241305422778968,0.37728696225482117,0.029668699522004287,0.5922202076808967
RefCOCO,groundingdino,82,kt5_ke10_match0.10_birth0.70_dup0.70,5,10,0.7,0.1,0.7,500,499,0.998,39920,0.9346693386773547,0.9065984133790738,0.8456750512123108,0.8473697884049348,0.0008206138191367143,0.37567700640078777,0.051534547841785655,0.5719678319382898
RefCOCO,groundingdino,83,kt5_ke10_match0.10_birth0.85_dup0.70,5,10,0.7,0.1,0.85,500,499,0.998,39920,0.9346693386773547,0.9065984133790738,0.8456750512123108,0.8473697884049348,0.0008206138191367143,0.37567700640078777,0.051534547841785655,0.5719678319382898
RefCOCO,groundingdino,84,kt5_ke10_match0.15_birth0.50_dup0.70,5,10,0.7,0.15,0.5,500,499,0.998,39920,0.9321893787575151,0.9043076344288287,0.8413000702857971,0.8429860208698647,0.000797702616464582,0.40236119974473517,0.02871729419272495,0.5681238034460753
RefCOCO,groundingdino,85,kt5_ke10_match0.15_birth0.70_dup0.70,5,10,0.7,0.15,0.7,500,499,0.998,39920,0.9288577154308617,0.9068770226537217,0.8406750559806824,0.8423597683648547,0.0007945336087716511,0.40076275226442076,0.04973780390910536,0.5487049102177022
RefCOCO,groundingdino,86,kt5_ke10_match0.15_birth0.85_dup0.70,5,10,0.7,0.15,0.85,500,499,0.998,39920,0.9288577154308617,0.9068770226537217,0.8406750559806824,0.8423597683648547,0.0007945336087716511,0.40076275226442076,0.04973780390910536,0.5487049102177022
RefCOCO,groundingdino,87,kt5_ke10_match0.25_birth0.50_dup0.70,5,10,0.7,0.25,0.5,500,499,0.998,39920,0.9225951903807615,0.9055661145805051,0.8337998986244202,0.8354708684948021,0.0016747868453105969,0.44290499390986604,0.025883069427527404,0.5295371498172959
RefCOCO,groundingdino,88,kt5_ke10_match0.25_birth0.70_dup0.70,5,10,0.7,0.25,0.7,500,499,0.998,39920,0.9195140280561123,0.9079739559212139,0.8332249522209167,0.8348947651161699,0.0016689424973448642,0.44135942952511,0.044454559247458655,0.5125170687300865
RefCOCO,groundingdino,89,kt5_ke10_match0.25_birth0.85_dup0.70,5,10,0.7,0.25,0.85,500,499,0.998,39920,0.9195140280561123,0.9079739559212139,0.8332249522209167,0.8348947651161699,0.0016689424973448642,0.44135942952511,0.044454559247458655,0.5125170687300865
RefCOCO,groundingdino,90,kt5_ke15_match0.10_birth0.50_dup0.70,5,15,0.7,0.1,0.5,500,499,0.998,39920,0.9520541082164329,0.9042519602168079,0.8591749668121338,0.8608967813556802,0.0003601656762110571,0.30668107329371513,0.03763731316405546,0.6553214478660183
RefCOCO,groundingdino,91,kt5_ke15_match0.10_birth0.70_dup0.70,5,15,0.7,0.1,0.7,500,499,0.998,39920,0.9486222444889779,0.9067575061395865,0.8584499955177307,0.8601703529128569,0.00035829451809387314,0.305087782156933,0.06198495163024006,0.632568971694733
RefCOCO,groundingdino,92,kt5_ke15_match0.10_birth0.85_dup0.70,5,15,0.7,0.1,0.85,500,499,0.998,39920,0.9486222444889779,0.9067575061395865,0.8584499955177307,0.8601703529128569,0.00035829451809387314,0.305087782156933,0.06198495163024006,0.632568971694733
RefCOCO,groundingdino,93,kt5_ke15_match0.15_birth0.50_dup0.70,5,15,0.7,0.15,0.5,500,499,0.998,39920,0.9478456913827655,0.9044611237380411,0.8555750846862793,0.8572896525472821,0.000526592943654555,0.32841846585922413,0.036510444093382485,0.6345444971037388
RefCOCO,groundingdino,94,kt5_ke15_match0.15_birth0.70_dup0.70,5,15,0.7,0.15,0.7,500,499,0.998,39920,0.9444138276553106,0.9069785947322352,0.8548499941825867,0.8565631017895166,0.0005239259517988125,0.326755151938526,0.06025148445686343,0.6124694376528117
RefCOCO,groundingdino,95,kt5_ke15_match0.15_birth0.85_dup0.70,5,15,0.7,0.15,0.85,500,499,0.998,39920,0.9444138276553106,0.9069785947322352,0.8548499941825867,0.8565631017895166,0.0005239259517988125,0.326755151938526,0.06025148445686343,0.6124694376528117
RefCOCO,groundingdino,96,kt5_ke15_match0.25_birth0.50_dup0.70,5,15,0.7,0.25,0.5,500,499,0.998,39920,0.9418336673346693,0.904888557902016,0.8505499958992004,0.8522544967865419,0.001186842997626314,0.3579179382841641,0.03458799593082401,0.6063072227873856
